,red,blue,actual,ai,ai_err,bookies,bookies_err
1140,Yves Edwards,Akbarh Arreola,0,0.9997052550315856,0.9997052550315856,0.726027397260274,0.726027397260274
1144,Edgar Garcia,Hector Urbina,0,0.5492823123931885,0.5492823123931885,0.6153846153846154,0.6153846153846154
1146,Dylan Andrews,Clint Hester,0,0.9999977350234984,0.9999977350234984,0.5833333333333334,0.5833333333333334
1151,Andy Ogle,Akira Corassani,0,0.9999949932098388,0.9999949932098388,0.6078431372549019,0.6078431372549019
1152,Paulo Thiago,Gasan Umalatov,0,0.9760569334030152,0.9760569334030152,0.6363636363636364,0.6363636363636364
1154,Takeya Mizugaki,Chris Cariaso,0,0.6862760782241821,0.6862760782241821,0.7435897435897436,0.7435897435897436
1156,Johnny Bedford,Cody Gibson,0,0.9999990463256836,0.9999990463256836,0.6491228070175439,0.6491228070175439
1157,Amir Sadollah,Duane Ludwig,0,0.9985620379447936,0.9985620379447936,0.797979797979798,0.797979797979798
1164,John Hathaway,Mike Pyle,0,0.9951419830322266,0.9951419830322266,0.826086956521739,0.826086956521739
1169,Tom Niinimaki,Niklas Backstrom,0,0.9808716773986816,0.9808716773986816,0.7101449275362319,0.7101449275362319
1173,Jason Young,Robert Peralta,0,0.9999649524688721,0.9999649524688721,0.5348837209302325,0.5348837209302325
1175,Jared Hamman,Kyle Kingsbury,0,0.9214419722557068,0.9214419722557068,0.6491228070175439,0.6491228070175439
1181,Alessio Sakara,Nico Musoke,0,0.9690499305725098,0.9690499305725098,0.6363636363636364,0.6363636363636364
1198,Justin Lawrence,Daniel Pineda,0,0.999948263168335,0.999948263168335,0.5,0.5
1199,Mackens Semerzier,Daniel Pineda,0,0.8077691197395325,0.8077691197395325,0.5918367346938775,0.5918367346938775
1200,Cyrille Diabate,Anthony Perosh,0,0.6348885893821716,0.6348885893821716,0.7802197802197803,0.7802197802197803
1201,Luiz Cane,Cyrille Diabate,0,0.7375723123550415,0.7375723123550415,0.7560975609756098,0.7560975609756098
1205,Yves Jabouin,Pablo Garza,0,0.9302024841308594,0.9302024841308594,0.6153846153846154,0.6153846153846154
1209,Chris Leben,Brian Stann,0,0.988178551197052,0.988178551197052,0.5951417004048583,0.5951417004048583
1214,Leonard Garcia,Cody McKenzie,0,0.9905731081962584,0.9905731081962584,0.6721311475409836,0.6721311475409836
1215,Norifumi Yamamoto,Darren Uyenoyama,0,0.959611177444458,0.959611177444458,0.7959183673469387,0.7959183673469387
1220,Kenny Florian,Gray Maynard,0,0.8794832229614258,0.8794832229614258,0.5833333333333334,0.5833333333333334
1221,Brian Ebersole,James Head,0,0.9998856782913208,0.9998856782913208,0.7647058823529411,0.7647058823529411
1222,Claude Patrick,Brian Ebersole,0,0.5996770858764648,0.5996770858764648,0.5238095238095238,0.5238095238095238
1224,James Irvin,Igor Pokrajac,0,0.9985312223434448,0.9985312223434448,0.6153846153846154,0.6153846153846154
1225,Krzysztof Soszynski,Igor Pokrajac,0,1.0,1.0,0.7183098591549296,0.7183098591549296
1231,Jared Hamman,Costas Philippou,0,0.9996733665466307,0.9996733665466307,0.6376811594202898,0.6376811594202898
1238,Mike Massenzio,Karlos Vemola,0,0.999848484992981,0.999848484992981,0.5652173913043478,0.5652173913043478
1239,Seth Petruzelli,Karlos Vemola,0,0.9345417022705078,0.9345417022705078,0.5121951219512195,0.5121951219512195
1242,Tyson Griffin,Bart Palaszewski,0,1.0,1.0,0.7468354430379747,0.7468354430379747
1247,Jacob Volkmann,Paul Sass,0,0.5512194633483887,0.5512194633483887,0.6551724137931035,0.6551724137931035
1248,Paul Sass,Matt Wiman,0,0.9014707207679749,0.9014707207679749,0.5238095238095238,0.5238095238095238
1249,Paul Kelly,Jacob Volkmann,0,0.577200710773468,0.577200710773468,0.5121951219512195,0.5121951219512195
1257,Forrest Griffin,Tito Ortiz,0,0.9898648858070374,0.9898648858070374,0.75,0.75
1259,Jake Hecht,Sean Pierson,0,0.8792077302932739,0.8792077302932739,0.6078431372549019,0.6078431372549019
1260,Rich Attonito,Jake Hecht,0,0.928013801574707,0.928013801574707,0.696969696969697,0.696969696969697
